ROW;BASIS;BITVALUE;DET?
2;X;1;Y
4;+;0;Y
7;X;0;Y
8;+;0;Y
9;X;0;Y
18;+;0;Y
19;X;1;Y
20;+;0;Y
23;X;1;Y
31;+;0;Y
35;X;0;Y
36;+;0;Y
46;+;1;Y
50;+;1;Y
51;+;0;Y
52;+;1;Y
55;+;1;Y
64;+;1;Y
75;X;1;Y
77;+;1;Y
78;X;1;Y
85;X;0;Y
86;X;1;Y
95;+;1;Y
97;+;1;Y
99;X;0;Y
108;X;0;Y
109;X;1;Y
110;+;0;Y
115;+;1;Y
119;X;1;Y
121;+;0;Y
124;X;0;Y
125;+;0;Y
128;+;1;Y
129;+;0;Y
141;+;0;Y
145;X;0;Y
147;+;0;Y
150;+;1;Y
151;X;0;Y
153;X;0;Y
155;X;0;Y
160;X;0;Y
161;+;1;Y
166;X;1;Y
171;X;0;Y
172;+;0;Y
175;+;0;Y
176;+;0;Y
179;X;0;Y
183;X;0;Y
184;+;0;Y
192;X;0;Y
196;+;1;Y
198;X;0;Y
201;X;0;Y
202;+;0;Y
203;X;0;Y
214;X;0;Y
215;X;0;Y
222;X;1;Y
224;X;0;Y
232;X;1;Y
234;+;0;Y
246;X;0;Y
263;X;0;Y
266;+;1;Y
272;X;0;Y
279;+;1;Y
290;+;1;Y
292;X;1;Y
295;+;1;Y
297;X;1;Y
298;+;1;Y
303;+;0;Y
308;X;0;Y
309;+;1;Y
310;+;0;Y
312;+;1;Y
315;+;1;Y
323;X;0;Y
324;X;0;Y
333;X;1;Y
345;+;0;Y
352;+;1;Y
353;+;1;Y
356;X;0;Y
360;X;0;Y
362;+;1;Y
364;X;1;Y
368;+;0;Y
369;+;0;Y
372;+;0;Y
379;+;1;Y
381;X;1;Y
384;+;1;Y
387;X;0;Y
393;X;1;Y
400;+;1;Y
403;+;1;Y
404;+;0;Y
414;X;0;Y
426;+;0;Y
446;+;1;Y
449;X;0;Y
457;X;0;Y
464;X;0;Y
466;X;1;Y
467;+;0;Y
468;X;1;Y
469;X;1;Y
477;+;0;Y
480;X;0;Y
483;+;0;Y
486;+;1;Y
487;X;0;Y
488;X;0;Y
491;+;0;Y
493;+;0;Y
494;X;1;Y
502;+;1;Y
505;X;1;Y
510;X;0;Y
511;X;0;Y
514;+;0;Y
515;+;0;Y
518;X;0;Y
540;X;0;Y
543;+;0;Y
545;+;1;Y
550;+;0;Y
554;+;0;Y
559;+;0;Y
561;X;1;Y
568;+;1;Y
580;+;0;Y
582;X;1;Y
583;X;0;Y
603;X;1;Y
604;X;1;Y
608;+;1;Y
616;X;0;Y
617;+;1;Y
621;+;0;Y
622;+;0;Y
637;+;1;Y
639;X;0;Y
642;X;0;Y
655;+;0;Y
664;+;0;Y
666;X;1;Y
679;X;0;Y
686;+;0;Y
691;+;0;Y
693;+;1;Y
695;+;0;Y
699;+;0;Y
711;+;1;Y
717;+;1;Y
719;X;0;Y
723;+;1;Y
724;+;1;Y
727;X;1;Y
730;+;0;Y
731;X;0;Y
739;X;1;Y
740;X;0;Y
747;X;1;Y
748;+;1;Y
757;X;0;Y
762;+;1;Y
765;+;0;Y
769;X;1;Y
770;+;0;Y
771;+;0;Y
774;+;1;Y
775;X;0;Y
776;+;0;Y
779;X;1;Y
792;+;0;Y
794;X;0;Y
796;+;0;Y
798;+;0;Y
802;+;1;Y
803;X;1;Y
808;X;0;Y
815;X;0;Y
819;X;1;Y
823;X;1;Y
826;X;0;Y
843;+;0;Y
851;X;0;Y
855;X;0;Y
856;X;1;Y
861;X;0;Y
862;X;1;Y
865;X;0;Y
866;X;1;Y
871;+;1;Y
878;X;1;Y
879;+;0;Y
881;X;0;Y
882;+;0;Y
883;+;0;Y
887;X;1;Y
888;X;0;Y
889;X;0;Y
890;+;0;Y
891;X;1;Y
897;X;0;Y
899;X;0;Y
900;X;0;Y
